"Quiz name","Course name","Open the quiz","Number of complete graded first attempts","Total number of complete graded attempts","Average grade of first attempts","Average grade of all attempts","Average grade of last attempts","Average grade of highest graded attempts","Median grade (for highest graded attempt)","Standard deviation (for highest graded attempt)","Score distribution skewness (for highest graded attempt)","Score distribution kurtosis (for highest graded attempt)","Coefficient of internal consistency (for highest graded attempt)","Error ratio (for highest graded attempt)","Standard error (for highest graded attempt)"
"Prelim Exam","IT 12 - Data Communication With Networking","Thursday, 1 June 2017, 2:35 PM",40,40,47.07%,47.07%,47.07%,47.07%,47.14%,12.50%,0.2241,-0.4836,83.16%,41.04%,5.13%
Q#,"Question type","Question name",Attempts,"Facility index","Standard deviation","Random guess score","Intended weight","Effective weight","Discrimination index","Discriminative efficiency"
41,"Multiple choice","The _______ layer ensures interoperability between communicating devices ...",40,40.00%,49.61%,25.00%,1.43%,1.05%,6.06%,7.49%
42,"Multiple choice","The _______ layer is responsible for delivering data units from one station ...",40,20.00%,40.51%,25.00%,1.43%,,-7.22%,-9.80%
43,"Multiple choice","The _______ layer is the layer closest to the transmission medium.",40,37.50%,49.03%,25.00%,1.43%,2.08%,41.92%,52.44%
44,"Multiple choice","The _______ layer lies between the network layer and the application layer.",40,42.50%,50.06%,25.00%,1.43%,2.11%,42.10%,51.88%
45,"Multiple choice","The _______ layer links the network support layers and the user support layers.",40,17.50%,38.48%,25.00%,1.43%,1.28%,18.12%,25.47%
46,"Multiple choice","The _______ model shows how the network functions of a computer ought to be ...",40,70.00%,46.41%,25.00%,1.43%,2.05%,43.37%,58.26%
47,"Multiple choice","The ________ address, also known as the link address, is the address of a ...",40,40.00%,49.61%,25.00%,1.43%,1.81%,29.61%,36.39%
48,"Multiple choice","The ________ address, also known as the link address, is the address of a ...",40,22.50%,42.29%,25.00%,1.43%,2.37%,67.01%,88.62%
49,"Multiple choice","The ________ layer is responsible for the process-to-process delivery of the ...",40,70.00%,46.41%,25.00%,1.43%,1.76%,30.21%,39.83%
50,"Multiple choice","The _________ layer enables the users to access the network.",40,55.00%,50.38%,25.00%,1.43%,2.24%,48.05%,59.76%
51,"Multiple choice","The_____ address identifies a process on a host.",40,17.50%,38.48%,25.00%,1.43%,1.66%,33.72%,47.07%
52,"Multiple choice","The_________ layer is responsible for the delivery of a message from one ...",40,57.50%,50.06%,25.00%,1.43%,1.23%,10.25%,12.65%
53,"Multiple choice","This was the first network.",40,90.00%,30.38%,25.00%,1.43%,1.54%,38.35%,75.10%
54,"Multiple choice","To deliver a message to the correct application program running on a host, ...",40,25.00%,43.85%,25.00%,1.43%,1.39%,18.24%,23.68%
55,"Multiple choice","When a host on network A sends a message to a host on network B, which ...",40,42.50%,50.06%,25.00%,1.43%,1.15%,8.29%,10.27%
56,"Multiple choice","When data are transmitted from device A to device B, the header from A's ...",40,40.00%,49.61%,25.00%,1.43%,1.43%,16.25%,19.97%
57,"Multiple choice","Which agency developed standards for physical connection interfaces and ...",40,12.50%,33.49%,25.00%,1.43%,1.36%,25.54%,39.09%
58,"Multiple choice","Which of the following is an application layer service?",40,57.50%,50.06%,25.00%,1.43%,2.01%,37.37%,46.77%
59,"Multiple choice","Which organization has authority over interstate and international commerce ...",40,12.50%,33.49%,25.00%,1.43%,1.95%,57.19%,87.65%
60,"Multiple choice","Which topology requires a central controller or hub?",40,72.50%,45.22%,25.00%,1.43%,2.00%,42.11%,57.46%
61,"Multiple choice","Which topology requires a multipoint connection?",40,27.50%,45.22%,25.00%,1.43%,1.58%,24.04%,30.59%
62,"Multiple choice","Why was the OSI model developed?",40,65.00%,48.30%,25.00%,1.43%,1.19%,9.90%,12.84%
63,"Multiple choice","_____ refers to two characteristics: when data should be sent and how fast it...",40,2.50%,15.81%,25.00%,1.43%,,-33.04%,-99.17%
64,"Multiple choice","______ refers to the physical or logical arrangement of a network.",40,72.50%,45.22%,25.00%,1.43%,1.91%,38.05%,51.10%
65,"Multiple choice","_______ are special-interest groups that quickly test, evaluate, and ...",40,10.00%,30.38%,25.00%,1.43%,1.25%,23.95%,39.30%
66,"Multiple choice","_______ is a process-to-process protocol that adds only port addresses, ...",40,7.50%,26.67%,25.00%,1.43%,0.48%,1.51%,2.84%
67,"Multiple choice","_______ is the protocol suite for the current Internet.",40,87.50%,33.49%,25.00%,1.43%,1.67%,40.36%,70.49%
68,"Multiple choice","_______ refers to the structure or format of the data, meaning the order in ...",40,37.50%,49.03%,25.00%,1.43%,1.71%,26.36%,33.02%
69,"Multiple choice","________ defines how a particular pattern to be interpreted, and what action ...",40,55.00%,50.38%,25.00%,1.43%,,-11.46%,-14.12%
70,"Multiple choice","__________ provides full transport layer services to applications.",40,10.00%,30.38%,25.00%,1.43%,,-26.21%,-43.77%
